City,ST,2023 estimate,2020 census,Change (%),2020 land area (mi2),2020 land area (km2),2020 density (/mi2),2020 density (/km2),Latitude,Longitude,Category
Fresno,CA,545716,542107,0.0067,115.2,298.4,4706,1817,36.78,-119.79,Regular City
Sacramento,CA,526384,524943,0.0027,98.6,255.4,5324,2056,38.57,-121.47,State capital
Mesa,AZ,511648,504258,0.0147,138.7,359.2,3636,1404,33.4,-111.72,Regular City
Atlanta,GA,510823,498715,0.024300000000000002,135.3,350.4,3686,1423,33.76,-84.42,State capital and largest city
Kansas City,MO,510704,508090,0.0051,314.7,815.1,1615,624,39.12,-94.56,State largest city
Colorado Springs,CO,488664,478961,0.0203,195.4,506.1,2451,946,38.87,-104.76,Regular City
Omaha,NE,483335,486051,-0.005600000000000001,141.6,366.7,3433,1325,41.26,-96.05,State largest city
Raleigh,NC,482295,467665,0.0313,147.1,381.0,3179,1227,35.83,-78.64,State capital
Miami,FL,455924,442241,0.030899999999999997,36.0,93.2,12284,4743,25.78,-80.21,Regular City
Virginia Beach,VA,453649,459470,-0.0127,244.7,633.8,1878,725,36.78,-76.03,State largest city
Long Beach,CA,449468,466742,-0.037000000000000005,50.7,131.3,9206,3554,33.78,-118.17,Regular City
Oakland,CA,436504,440646,-0.009399999999999999,55.9,144.8,7883,3044,37.77,-122.23,Regular City
Minneapolis,MN,425115,429954,-0.0113,54.0,139.9,7962,3074,44.96,-93.27,State largest city
Bakersfield,CA,413381,403455,0.0246,149.8,388.0,2693,1040,35.35,-119.04,Regular City
Tulsa,OK,411894,413066,-0.0028000000000000004,197.5,511.5,2091,807,36.13,-95.9,Regular City
Tampa,FL,403364,384959,0.0478,114.0,295.3,3377,1304,27.97,-82.47,Regular City
Arlington,TX,398431,394266,0.0106,95.9,248.4,4111,1587,32.7,-97.12,Regular City
Wichita,KS,396119,397532,-0.0036,162.0,419.6,2454,947,37.69,-97.35,State largest city
Aurora,CO,395052,386261,0.022799999999999997,160.1,414.7,2413,932,39.7,-104.72,Regular City
New Orleans,LA,364136,383997,-0.051699999999999996,169.5,439.0,2265,875,30.05,-89.93,State largest city
Cleveland,OH,362656,372624,-0.0268,77.7,201.2,4796,1852,41.48,-81.68,Regular City
Honolulu,HI,341778,350964,-0.0262,60.5,156.7,5801,2240,21.32,-157.85,State capital and largest city
Anaheim,CA,340512,346824,-0.0182,50.3,130.3,6895,2662,33.86,-117.76,Regular City
Henderson,NV,337305,317610,0.062,106.2,275.1,2991,1155,36.01,-115.04,Regular City
Orlando,FL,320742,307573,0.042800000000000005,110.6,286.5,2781,1074,28.41,-81.25,Regular City
Lexington,KY,320154,322570,-0.0075,283.6,734.5,1137,439,38.04,-84.46,Regular City
Stockton,CA,319543,320804,-0.0039000000000000003,62.2,161.1,5158,1992,37.98,-121.31,Regular City
Riverside,CA,318858,314998,0.0123,81.2,210.3,3879,1498,33.94,-117.39,Regular City
Corpus Christi,TX,316595,317863,-0.004,162.2,420.1,1960,760,27.75,-97.17,Regular City
Irvine,CA,314621,307670,0.0226,65.6,169.9,4690,1810,33.68,-117.77,Regular City
Cincinnati,OH,311097,309317,0.0058,77.8,201.5,3976,1535,39.14,-84.51,Regular City
Santa Ana,CA,310539,310227,0.001,27.3,70.7,11364,4388,33.74,-117.88,Regular City
Newark,NJ,304960,311549,-0.021099999999999997,24.1,62.4,12927,4991,40.72,-74.17,State largest city
Saint Paul,MN,303820,311527,-0.024700000000000003,52.0,134.7,5991,2313,44.95,-93.1,State capital
Pittsburgh,PA,303255,302971,0.0009,55.4,143.5,5469,2112,40.44,-79.98,Regular City
Greensboro,NC,302296,299035,0.0109,129.6,335.7,2307,891,36.1,-79.83,Regular City
Durham,NC,296186,283506,0.0447,112.8,292.2,2513,970,35.98,-78.9,Regular City
Lincoln,NE,294757,291082,0.0126,97.7,253.0,2979,1150,40.81,-96.68,State capital
Jersey City,NJ,291657,292449,-0.0027,14.7,38.1,19894,7681,40.71,-74.06,Regular City
Plano,TX,290190,285494,0.016399999999999998,71.7,185.7,3982,1537,33.05,-96.75,Regular City
Anchorage,AK,286075,291247,-0.0178,1706.8,4420.6,171,66,61.17,-149.28,State largest city
North Las Vegas,NV,284771,262527,0.08470000000000001,101.3,262.4,2592,1001,36.28,-115.09,Regular City
St. Louis,MO,281754,301578,-0.06570000000000001,61.7,159.8,4888,1887,38.64,-90.24,Regular City
Madison,WI,280305,269840,0.0388,79.6,206.2,3390,1310,43.09,-89.43,State capital
Chandler,AZ,280167,275987,0.0151,65.3,169.1,4226,1632,33.28,-111.85,Regular City
Gilbert,AZ,275411,267918,0.027999999999999997,68.6,177.7,3906,1508,33.31,-111.74,Regular City
Reno,NV,274915,264165,0.0407,108.8,281.8,2428,937,39.55,-119.85,Regular City
Buffalo,NY,274678,278349,-0.0132,40.4,104.6,6890,2660,42.89,-78.86,Regular City
Chula Vista,CA,274333,275487,-0.0042,49.6,128.5,5554,2144,32.63,-117.02,Regular City
Fort Wayne,IN,269994,263886,0.0231,110.7,286.7,2384,920,41.09,-85.14,Regular City
Lubbock,TX,266878,257141,0.0379,134.6,348.6,1910,740,33.57,-101.89,Regular City
Toledo,OH,265304,270871,-0.0206,80.5,208.5,3365,1299,41.66,-83.58,Regular City
St. Petersburg,FL,263553,258308,0.0203,61.8,160.1,4180,1610,27.77,-82.64,Regular City
Laredo,TX,257602,255205,0.009399999999999999,106.5,275.8,2396,925,27.56,-99.49,Regular City
Irving,TX,254373,256684,-0.009000000000000001,67.0,173.5,3831,1479,32.86,-96.97,Regular City
Chesapeake,VA,253886,249422,0.0179,338.5,876.7,737,285,36.68,-76.3,Regular City
Glendale,AZ,253855,248325,0.0223,61.6,159.5,4031,1556,33.53,-112.19,Regular City
Winston-Salem,NC,252975,249545,0.0137,132.7,343.7,1881,726,36.1,-80.26,Regular City
Port St. Lucie,FL,245021,204851,0.1961,119.2,308.7,1719,664,27.28,-80.39,Regular City
Scottsdale,AZ,244394,241361,0.0126,184.0,476.6,1312,507,33.68,-111.86,Regular City
Garland,TX,243470,246018,-0.0104,57.1,147.9,4309,1664,32.91,-96.63,Regular City
Boise,ID,235421,235684,-0.0011,84.0,217.6,2806,1083,43.6,-116.23,State capital and largest city
Norfolk,VA,230930,238005,-0.0297,53.3,138.0,4465,1724,36.92,-76.24,Regular City
Spokane,WA,229447,228989,0.002,68.8,178.2,3328,1285,47.67,-117.43,Regular City
Richmond,VA,229247,226610,0.0116,59.9,155.1,3783,1461,37.53,-77.48,State capital
Fremont,CA,226208,230504,-0.018600000000000002,78.3,202.8,2944,1137,37.49,-121.94,Regular City
Huntsville,AL,225564,215006,0.049100000000000005,218.1,564.9,986,381,34.78,-86.53,State largest city
Frisco,TX,225007,200509,0.1222,68.6,177.7,2923,1129,33.16,-96.82,Regular City
Cape Coral,FL,224455,194016,0.15689999999999998,106.0,274.5,1830,710,26.65,-81.99,Regular City
Santa Clarita,CA,224028,228673,-0.0203,70.8,183.4,3230,1250,34.41,-118.49,Regular City
San Bernardino,CA,223728,222101,0.0073,62.1,160.8,3577,1381,34.14,-117.29,Regular City
Tacoma,WA,222906,219346,0.016200000000000003,49.7,128.7,4413,1704,47.25,-122.46,Regular City
Hialeah,FL,221300,223109,-0.008100000000000001,21.6,55.9,10329,3988,25.87,-80.3,Regular City
Baton Rouge,LA,219573,227470,-0.0347,86.3,223.5,2636,1018,30.44,-91.13,State capital
Modesto,CA,218915,218464,0.0021,43.0,111.4,5081,1962,37.64,-121.0,Regular City
Fontana,CA,215465,208393,0.0339,43.1,111.6,4835,1867,34.11,-117.46,Regular City
McKinney,TX,213509,195308,0.0932,67.0,173.5,2915,1125,33.2,-96.66,Regular City
Moreno Valley,CA,212392,208634,0.018000000000000002,51.3,132.9,4067,1570,33.92,-117.21,Regular City
Des Moines,IA,210381,214133,-0.0175,88.2,228.4,2428,937,41.57,-93.61,State capital and largest city
Fayetteville,NC,209749,208501,0.006,148.3,384.1,1406,543,35.08,-78.97,Regular City
Salt Lake City,UT,209593,199723,0.049400000000000006,110.3,285.7,1811,699,40.78,-111.93,State capital and largest city
Yonkers,NY,207657,211569,-0.018500000000000003,18.0,46.6,11754,4538,40.95,-73.87,Regular City
Worcester,MA,207621,206518,0.0053,37.4,96.9,5522,2132,42.27,-71.81,Regular City
Rochester,NY,207274,211328,-0.0192,35.8,92.7,5903,2279,43.17,-77.62,Regular City
Sioux Falls,SD,206410,192517,0.0722,79.1,204.9,2434,940,43.54,-96.73,State largest city
Little Rock,AR,203842,202591,0.0062,120.0,310.8,1688,652,34.72,-92.36,State capital and largest city
Amarillo,TX,202408,200393,0.0101,102.3,265.0,1959,756,35.2,-101.83,Regular City
Tallahassee,FL,202221,196169,0.030899999999999997,100.9,261.3,1944,751,30.46,-84.25,State capital
Grand Prairie,TX,202134,196100,0.0308,72.6,188.0,2701,1043,32.69,-97.02,Regular City
Columbus,GA,201877,206922,-0.024399999999999998,216.5,560.7,956,369,32.51,-84.87,Regular City
Augusta,GA,200884,202081,-0.0059,302.3,783.0,668,258,33.37,-82.07,Regular City
Peoria,AZ,198750,190985,0.0407,176.1,456.1,1085,419,33.79,-112.31,Regular City
Oxnard,CA,198488,202063,-0.0177,26.5,68.6,7625,2944,34.2,-119.21,Regular City
Knoxville,TN,198162,190740,0.038900000000000004,98.7,255.6,1933,746,35.97,-83.95,Regular City
Overland Park,KS,197089,197238,-0.0008,75.2,194.8,2623,1013,38.89,-94.69,Regular City
Birmingham,AL,196644,200733,-0.0204,147.0,380.7,1366,527,33.53,-86.8,Regular City
Grand Rapids,MI,196608,198917,-0.0116,44.8,116.0,4440,1710,42.96,-85.66,Regular City
Vancouver,WA,196442,190915,0.028999999999999998,48.7,126.1,3920,1510,45.64,-122.6,Regular City
Montgomery,AL,195287,200603,-0.0265,159.9,414.1,1255,485,32.35,-86.27,State capital
Huntington Beach,CA,192129,198711,-0.0331,27.0,69.9,7360,2840,33.7,-118.0,Regular City
Providence,RI,190792,190934,-0.0007000000000000001,18.4,47.7,10377,4007,41.82,-71.42,State capital and largest city
Brownsville,TX,190158,186738,0.0183,131.5,340.6,1420,550,26.0,-97.45,Regular City
Tempe,AZ,189834,180587,0.0512,39.9,103.3,4526,1747,33.39,-111.93,Regular City
Akron,OH,188701,190469,-0.009300000000000001,61.9,160.3,3077,1188,41.08,-81.52,Regular City
Glendale,CA,187050,196543,-0.0483,30.5,79.0,6444,2488,34.18,-118.25,Regular City
Chattanooga,TN,187030,181099,0.032799999999999996,142.4,368.8,1272,491,35.07,-85.25,Regular City
Fort Lauderdale,FL,184255,182760,0.008199999999999999,34.6,89.6,5282,2039,26.14,-80.15,Regular City
Newport News,VA,183118,186247,-0.0168,69.0,178.7,2699,1042,37.08,-76.52,Regular City
Mobile,AL,182595,187041,-0.023799999999999998,139.5,361.3,1341,518,30.67,-88.1,Regular City
Ontario,CA,182457,175265,0.040999999999999995,50.0,129.5,3505,1353,34.04,-117.6,Regular City
Clarksville,TN,180716,166722,0.0839,99.4,257.4,1677,647,36.57,-87.35,Regular City
Cary,NC,180010,174721,0.030299999999999997,59.2,153.3,2951,1139,35.78,-78.82,Regular City
Elk Grove,CA,178444,176124,0.0132,42.0,108.8,4193,1619,38.41,-121.38,Regular City
Shreveport,LA,177959,187593,-0.051399999999999994,107.8,279.2,1740,670,32.47,-93.79,Regular City
Eugene,OR,177899,176654,0.006999999999999999,44.2,114.5,3997,1543,44.06,-123.12,Regular City
Aurora,IL,177563,180542,-0.0165,45.0,116.5,4012,1549,41.76,-88.29,Regular City
Salem,OR,177432,175535,0.0108,48.8,126.4,3597,1389,44.92,-123.02,State capital
Santa Rosa,CA,175845,178127,-0.0128,42.5,110.1,4191,1618,38.45,-122.71,Regular City
Rancho Cucamonga,CA,174405,174453,-0.0003,40.1,103.9,4350,1680,34.12,-117.56,Regular City
